state,frac,seq,AA,AS,B6,DL,EV,F9,HA,NK,OO,UA,VX,WN
TX,100,14,16400,,,1900,8100,,,1500,2800,5800,,12200
TX,100,15,13200,,,1900,8300,,,2000,3000,5400,,14900
TX,100,16,13600,,,2400,9000,,,600,1800,5300,,16000
TX,100,17,14300,,,1400,9800,,,1200,2500,6200,,13300
TX,100,18,13800,,,2300,7600,,,2500,2600,5700,,14200
TX,100,19,16100,,,2800,8600,,,1400,2300,5300,,12200
TX,100,20,14400,,,1800,8100,,,1000,2200,7300,,13900
TX,200,1,16000,,,2000,7600,,,1200,2200,5400,,14400
TX,200,2,15600,,,2800,9400,,,200,2200,5000,,13600
TX,200,3,14600,,,2000,9400,,,1800,2200,5600,,13200
TX,200,4,14400,,,2000,9200,,,1600,2200,7200,,12200
TX,200,5,14800,,,1000,7200,,,800,3000,6800,,15200
TX,200,6,14000,,,1400,9400,,,2200,2200,5800,,13800
TX,200,7,13400,,,1800,6800,,,1000,4600,5600,,15600
TX,200,8,15200,,,3400,8400,,,1200,2800,7200,,10600
TX,200,9,14400,,,2600,6000,,,1600,2000,7400,,14800
TX,200,10,16200,,,2600,6800,,,1000,2400,4800,,15000
TX,200,11,15600,,,1800,7600,,,1400,2600,7400,,12400
TX,200,12,13800,,,1400,5800,,,2000,3800,7000,,15000
TX,200,13,16600,,,1600,7600,,,400,2000,6800,,13800
TX,200,14,16000,,,1800,7800,,,600,1800,6400,,14400
TX,200,15,13400,,,3600,10600,,,600,2600,4400,,13600
TX,200,16,16800,,,2400,8800,,,1000,1600,5400,,12800
TX,200,17,12200,,,800,9600,,,2000,2200,6000,,16000
TX,200,18,16400,,,1800,9600,,,800,2800,5000,,12400
TX,200,19,12000,,,2600,5600,,,2400,2800,7000,,16400
TX,200,20,15600,,,1800,7600,,,1800,3600,6000,,12400
TX,500,1,12500,,,2500,9000,,,500,2000,7000,,15000
TX,500,2,16500,,,3500,8500,,,500,500,5000,,14000
TX,500,3,15500,,,1500,6000,,,1000,3500,5000,,16000
TX,500,4,14000,,,2000,5500,,,2500,2500,7000,,15000
TX,500,5,13000,,,4000,7500,,,2500,500,6500,,14500
TX,500,6,12000,,,,10000,,,1000,4000,7000,,14500
TX,500,7,12500,,,1500,9500,,,3000,3500,5000,,13500
TX,500,8,15500,,,1000,7000,,,2500,1500,7000,,14000
TX,500,9,13500,,,2000,8000,,,1000,3000,6500,,14500
TX,500,10,12500,,,2500,8000,,,1000,2500,6000,,16000
TX,500,11,14500,,,1500,6000,,,2500,1500,4000,,18500
TX,500,12,12500,,,2000,10000,,,1500,2500,6500,,13500
TX,500,13,12000,,,1000,5000,,,2500,3500,7000,,17500
TX,500,14,16500,,,1000,6000,,,1000,4500,6000,,13500
TX,500,15,16000,,,2500,7000,,,500,500,8000,,14000
TX,500,16,15000,,,2000,7000,,,,2500,8000,,14000
TX,500,17,16000,,,1000,6500,,,1500,2500,7000,,14000
TX,500,18,16000,,,3000,8000,,,500,1000,6500,,13500
TX,500,19,14500,,,3500,7500,,,2000,2000,4500,,14500
TX,500,20,17000,,,3000,6000,,,500,2500,6000,,13500
TX,1000,1,18000,,,1000,8000,,,1000,2000,7000,,12000
TX,1000,2,19000,,,1000,8000,,,2000,1000,6000,,12000
TX,1000,3,11000,,,1000,9000,,,2000,,6000,,20000
TX,1000,4,9000,,,3000,9000,,,2000,,11000,,15000
TX,1000,5,13000,,,2000,10000,,,,4000,3000,,17000
TX,1000,6,15000,,,1000,7000,,,,3000,7000,,16000
TX,1000,7,12000,,,4000,8000,,,3000,2000,2000,,18000
TX,1000,8,13000,,,2000,8000,,,5000,3000,8000,,10000
TX,1000,9,15000,,,,7000,,,1000,4000,5000,,17000
TX,1000,10,22000,,,,6000,,,1000,4000,8000,,8000
TX,1000,11,11000,,,3000,6000,,,1000,3000,10000,,15000
TX,1000,12,14000,,,5000,8000,,,1000,3000,3000,,15000
TX,1000,13,14000,,,2000,8000,,,2000,2000,4000,,17000
TX,1000,14,14000,,,3000,10000,,,1000,3000,3000,,15000
TX,1000,15,14000,,,3000,6000,,,2000,2000,5000,,17000
TX,1000,16,19000,,,,5000,,,,2000,6000,,17000
TX,1000,17,11000,,,1000,15000,,,3000,1000,4000,,14000
TX,1000,18,16000,,,2000,4000,,,1000,2000,5000,,19000
TX,1000,19,14000,,,1000,10000,,,,3000,7000,,14000
TX,1000,20,20000,,,3000,8000,,,,1000,6000,,11000
FL,1,0,9000,,5329,6880,,991,,1853,,2374,,9162
FL,100,1,9800,,5200,5400,,900,,1700,,2500,,10100
FL,100,2,8200,,6700,6700,,700,,1100,,2500,,9700
FL,100,3,9800,,4700,6200,,1000,,1900,,2300,,9700
FL,100,4,8600,,5700,7100,,900,,1500,,3300,,8500
FL,100,5,9200,,4900,6800,,900,,1200,,2200,,10400
FL,100,6,9600,,4700,7400,,1200,,2100,,2000,,8600
FL,100,7,10100,,4200,7300,,1300,,1800,,2500,,8400
FL,100,8,10100,,4700,7200,,1000,,2000,,2200,,8400
FL,100,9,8200,,6700,7800,,1100,,2000,,1400,,8400
FL,100,10,8500,,6600,6000,,800,,2400,,2100,,9200
FL,100,11,9800,,5600,6100,,1000,,2200,,2000,,8900
FL,100,12,8600,,6300,6100,,700,,1400,,2600,,9900
FL,100,13,10400,,5100,5700,,1200,,1300,,2800,,9100
FL,100,14,10200,,4300,7600,,900,,3000,,2500,,7100
FL,100,15,8500,,5500,6300,,1100,,1300,,2000,,10900
FL,100,16,8400,,6100,6300,,1300,,1700,,2000,,9800
FL,100,17,10700,,5800,6500,,900,,2000,,1900,,7800
FL,100,18,9800,,5100,6100,,500,,2000,,2500,,9600
FL,100,19,8300,,4800,7200,,1100,,1500,,2600,,10100
FL,100,20,8700,,6300,5400,,800,,1900,,2800,,9700
FL,200,1,8400,,4800,8800,,800,,2200,,2200,,8400
FL,200,2,10600,,4200,6400,,1400,,2000,,2800,,8200
FL,200,3,8800,,5800,5400,,1200,,3000,,2600,,8800
FL,200,4,9600,,4600,5600,,800,,2600,,1600,,10800
FL,200,5,7000,,5000,8400,,800,,1800,,2600,,10000
FL,200,6,11000,,4200,5800,,1000,,1400,,1800,,10400
FL,200,7,5600,,6200,9000,,1000,,1800,,3600,,8400
FL,200,8,9000,,6200,6600,,800,,1400,,2400,,9200
FL,200,9,8600,,7200,4800,,600,,2000,,2600,,9800
FL,200,10,8200,,7000,6400,,1000,,1800,,1800,,9400
FL,200,11,9000,,6000,6200,,1000,,1000,,3400,,9000
FL,200,12,7400,,5800,7400,,1000,,3400,,1400,,9200
FL,200,13,9000,,3600,8000,,1000,,2000,,2200,,9800
FL,200,14,8000,,5200,7000,,1200,,1800,,2200,,10200
FL,200,15,10600,,5200,5600,,1000,,1800,,800,,10600
FL,200,16,8400,,4800,8000,,800,,2600,,1600,,9400
FL,200,17,11200,,4000,9000,,1200,,2600,,1400,,6200
FL,200,18,9600,,6000,6400,,1200,,1400,,1800,,9200
FL,200,19,10600,,4800,5800,,800,,1200,,3400,,9000
FL,200,20,9800,,6000,5400,,800,,1800,,2200,,9600
FL,500,1,9000,,4000,8500,,500,,2500,,2000,,9000
FL,500,2,9000,,5500,4500,,1500,,3000,,2000,,10000
FL,500,3,6500,,4000,9500,,500,,1500,,2000,,11500
FL,500,4,10500,,6500,8000,,500,,2000,,500,,7500
FL,500,5,9000,,4000,5500,,1000,,3500,,3500,,9000
FL,500,6,7000,,6000,9000,,1000,,3500,,2500,,6500
FL,500,7,11000,,7500,7000,,,,2500,,2000,,5500
FL,500,8,8500,,5000,7500,,500,,3000,,3000,,8000
FL,500,9,9500,,5500,6000,,1500,,1000,,3000,,9000
FL,500,10,9500,,3000,3500,,2000,,2000,,5500,,10000
FL,500,11,6000,,7500,7500,,500,,1500,,3000,,9500
FL,500,12,6000,,6000,6000,,1000,,2000,,3500,,11000
FL,500,13,5000,,6000,8000,,1500,,4000,,1000,,10000
FL,500,14,9000,,5500,7000,,,,2000,,3000,,9000
FL,500,15,6000,,5500,5000,,500,,3000,,500,,15000
FL,500,16,9500,,5500,6000,,1000,,500,,3000,,10000
FL,500,17,10500,,3000,8500,,1000,,3000,,2000,,7500
FL,500,18,8500,,5000,4000,,1000,,1500,,2500,,13000
FL,500,19,8000,,9000,5000,,,,2500,,5000,,6000
FL,500,20,10000,,4500,4500,,1500,,1000,,2500,,11500
FL,1000,1,7000,,7000,7000,,2000,,3000,,2000,,8000
